OFFER,RETAILER,BRAND,MOST_SIMILAR_CATEGORY
"OxiClean™ Laundry Stain Removers, select varieties at Walmart",WALMART,OXICLEAN,
Country Crock® Plant Based Cream at Walmart,WALMART,COUNTRY CROCK PLANT BUTTER,Nut Butters & Jam
2 Pack OR 2 Liter AND Whole Pizza at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
Arnold® Grains Almighty,,ARNOLD BROWNBERRY OROWEAT,Bread
"Snuggle® Liquid Fabric Softener, at Walmart",WALMART,SNUGGLE,Household Supplies
"Hidden Valley® Ranch Night Seasoning Mix, 1 count",,HIDDEN VALLEY RANCH,Sauces & Marinades
"Kradle, select varieties, at Pet Supplies Plus",PET SUPPLIES PLUS,KRADLE,Dog Supplies
"Back to the Roots Soils, select varieties and sizes, at Lowes",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,Packaged Meals & Sides
"Butterball, select varieties, spend $10 at Mariano's",MARIANOS,BUTTERBALL,Nut Butters & Jam
"CORE® Hydration, select varieties, buy 2 at Walmart",WALMART,CORE HYDRATION,Water
Spend $40 at Dickey's Barbecue Pit,DICKEYS BARBECUE PIT,DICKEYS BARBECUE PIT,
"General Mills™ snacks, select brands, spend $10",,BUGLES,Chips
"Back to the Roots Soils, select varieties, at Walmart or Lowes",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,Packaged Meals & Sides
"Barilla® pasta, select varieties, buy 4",,BARILLA,Dry Pasta
"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties",,GATORADE,Sports Drinks
"Burt's Bees® Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,BURTS BEES,Skin Care
"Arber, at Walmart",WALMART,ARBER,
"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 5",,VIZZY,"Hard Seltzers, Sodas, Waters, Lemonades & Teas"
Any Pavilions receipt,PAVILIONS,PAVILIONS,Cooking & Baking
Back to the Roots Grow Kits at Walmart or The Home Depot,WALMART,BACK TO THE ROOTS,Packaged Meals & Sides
Any Safeway receipt,SAFEWAY,SAFEWAY,Candy
"Welch's® Fruit Snacks, select varieties, 6 count+",,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks
Back to the Roots Grow Hydroponic Grow Kit OR Refill Bundle at Walmart,WALMART,BACK TO THE ROOTS,Packaged Meals & Sides
"Ben & Jerry's Wake & No Bake Cookie Dough Ice Cream, 16 ounce",,BEN AND JERRYS,Frozen Desserts
"ORBIT®, select varieties",,ORBIT,Gum
"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FOOD4LESS,GATORADE,Sports Drinks
"Butterball, select varieties, spend $10 at Pick 'n Save OR Metro Market",PICK N SAVE,BUTTERBALL,Nut Butters & Jam
Hellmann's | Best Foods Vegan Dressing or Spread,,HELLMANNS BEST FOODS,Condiments
"Rao's®, Pasta OR Sauce, spend $10",,RAO'S,Red Pasta Sauce
L'Oreal Paris True Match Foundation at Target,TARGET,LOREAL PARIS COSMETICS,Makeup
"Sara Lee® or Alfaros® Artesano bread, spend $20",,ALFAROS,Bread
Spend $220 at Albertsons,ALBERTSONS,ALBERTSONS,Candy
"Perfect Keto Super Reds, online at Amazon",AMAZON,PERFECT KETO,Medicines & Treatments
The Rustik Oven® bread,,RUSTIK OVEN,Bread
Gorton's at select retailers,WALMART,GORTONS,Frozen Meals
"Back to the Roots Seeds, at Walmart",WALMART,BACK TO THE ROOTS,Packaged Meals & Sides
Nature Valley™ Protein Granola,,NATURE VALLEY,Trail Mix
Brita® Pitcher OR Dispenser,,BRITA,Household Supplies
Spend $30 at CVS,CVS,CVS,Fruit Juices
"Back to the Roots Organic Kits and Planters, at Target",TARGET,BACK TO THE ROOTS,Packaged Meals & Sides
"Sir Kensington's® Condiments, buy 2",,SIR KENSINGTONS,Condiments
"Perfect Keto Exogenous Ketones Powder, online at Amazon",AMAZON,PERFECT KETO,Medicines & Treatments
Select Beverages AND Prepared Food Item at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
"Back to the Roots Potting Mix, 1 cubic foot, at Lowe's Home Improvement",LOWES HOME IMPROVEMENT,BACK TO THE ROOTS,Packaged Meals & Sides
"Barilla® pasta, select varieties, buy 2",,BARILLA,Dry Pasta
Any Star Market receipt,STAR MARKET,STAR MARKET,Cooking & Baking
"Squirrel, The Bedside Perch, online at Amazon",AMAZON,SQUIRREL,
"Fresh Bakery items, select varieties, at Casey's",CASEYS GENERAL STORE,CASEYS GENERAL STORE,Cooking & Baking
Ben & Jerry's® Churray For Churros™ Ice Cream,,BEN AND JERRYS,Frozen Desserts
Sir Kensington's® Condiments,,SIR KENSINGTONS,Condiments
"Dove Hand Wash, select varieties at Target",TARGET,DOVE,Bath & Body
Spend $15 at Burger King,BURGER KING,BURGER KING,Cooking & Baking
Cameron’s Coffee EcoPods,,CAMERON'S COFFEE,Coffee
L'Oréal Paris True Match Foundation at Target,TARGET,LOREAL PARIS COSMETICS,Makeup
"Sara Lee® Delightful bread, buy 2",,SARA LEE,Bread
"Welch's® Juicefuls® Juicy Fruit Snacks, buy 2",,WELCHS FRUIT SNACKS,Fruit & Vegetable Snacks
Spend $35 at Subway,SUBWAY,SUBWAY,Cooking & Baking
"Dixon® Safety Carpenter Pencil, 10 count, at Lowe’s®",LOWES HOME IMPROVEMENT,DIXON,Cooking & Baking
Spend $115 at Safeway,SAFEWAY,SAFEWAY,Candy
"Breyers Reese's Ice Cream, select varieties, at GIANT OR MARTIN’S",MARTINS FOODS,BREYERS,Frozen Desserts
Shop 2 times at Randalls,RANDALLS,RANDALLS,
"Jack Link's®, select varieties",,JACK LINKS,Jerky & Dried Meat
"Persil® ProClean®, select varieties, at Walmart",WALMART,PERSIL,
"Back to the Roots Organic 3-In-1 Seed Starting Mix 12 quart, at Walmart or Target",TARGET,BACK TO THE ROOTS,Packaged Meals & Sides
"STARBURST®, select varieties",,STARBURST,Fruit & Vegetable Snacks
"Super Coffee, 12 ounce single serve",,SUPER COFFEE,Coffee
Spend $90 at Safeway,SAFEWAY,SAFEWAY,Candy
Spend $5 on brisket mac & cheese sandwich OR other single-serve prepared food item,CASEYS GENERAL STORE,CASEYS GENERAL STORE,Frozen Pizza & Pizza Snacks
Spend $50 at Chewy.com,CHEWY,CHEWY,
Simply Organic Seasoning Mixes OR Spices,,SIMPLY ORGANIC,Sauces & Marinades
Spend $10 at KFC,KFC,KFC,
Sargento Product,,SARGENTO,Cheese
Thomas'® Bagel Thins,,THOMAS,Bread
Spend $270 at Pavilions,PAVILIONS,PAVILIONS,Cooking & Baking
"Back to the Roots Soils, select varieties, at Walmart",WALMART,BACK TO THE ROOTS,Packaged Meals & Sides
